,A,B,exp_value,fidelity
42,23,99,0.9953883914153803,0.9976941957076901
43,99,23,0.9953883914153803,0.9976941957076901
44,23,104,0.9965459351481813,0.9982729675740907
45,104,23,0.9965459351481813,0.9982729675740907
46,23,106,0.9925432157853971,0.9962716078926985
47,106,23,0.9925432157853971,0.9962716078926985
48,23,107,0.9978258615167729,0.9989129307583864
49,107,23,0.9978258615167729,0.9989129307583864
50,23,109,0.9951571756115576,0.9975785878057788
51,109,23,0.9951571756115576,0.9975785878057788
52,23,113,0.9885077484764153,0.9942538742382077
53,113,23,0.9885077484764153,0.9942538742382077
54,23,114,0.9971492449492051,0.9985746224746026
55,114,23,0.9971492449492051,0.9985746224746026
56,23,115,0.9839329856575599,0.9919664928287799
57,115,23,0.9839329856575599,0.9919664928287799
58,23,117,0.99591988440004,0.99795994220002
59,117,23,0.99591988440004,0.99795994220002
60,23,165,0.9917496693459951,0.9958748346729975
61,165,23,0.9917496693459951,0.9958748346729975
62,23,166,0.9912452515566013,0.9956226257783006
63,166,23,0.9912452515566013,0.9956226257783006
64,23,198,0.9918820391761085,0.9959410195880543
65,198,23,0.9918820391761085,0.9959410195880543
66,23,199,0.9965343599904526,0.9982671799952263
67,199,23,0.9965343599904526,0.9982671799952263
68,23,233,0.9933683229064736,0.9966841614532368
69,233,23,0.9933683229064736,0.9966841614532368
70,23,234,0.996076704229717,0.9980383521148585
71,234,23,0.996076704229717,0.9980383521148585
72,23,240,0.9960904582099028,0.9980452291049514
73,240,23,0.9960904582099028,0.9980452291049514
74,23,241,0.9912588080865012,0.9956294040432506
75,241,23,0.9912588080865012,0.9956294040432506
76,23,249,0.995409354073511,0.9977046770367555
77,249,23,0.995409354073511,0.9977046770367555
78,23,251,0.9949693608437508,0.9974846804218753
79,251,23,0.9949693608437508,0.9974846804218753
80,23,252,0.9902093748432266,0.9951046874216133
81,252,23,0.9902093748432266,0.9951046874216133
82,23,254,0.9952517433587216,0.9976258716793608
83,254,23,0.9952517433587216,0.9976258716793608
84,23,256,0.9972120910945439,0.998606045547272
85,256,23,0.9972120910945439,0.998606045547272
86,23,261,0.9954229305285233,0.9977114652642616
87,261,23,0.9954229305285233,0.9977114652642616
88,23,262,0.9959437124789878,0.9979718562394939
89,262,23,0.9959437124789878,0.9979718562394939
90,23,263,0.9964573345237019,0.998228667261851
91,263,23,0.9964573345237019,0.998228667261851
92,23,302,0.9777740903015256,0.9888870451507628
93,302,23,0.9777740903015256,0.9888870451507628
94,23,306,0.9898094711487377,0.9949047355743689
95,306,23,0.9898094711487377,0.9949047355743689
96,23,317,0.9920100517904267,0.9960050258952133
97,317,23,0.9920100517904267,0.9960050258952133
98,23,325,0.921040049446215,0.9605200247231075
99,325,23,0.921040049446215,0.9605200247231075
100,23,334,0.9970490787718402,0.9985245393859201
101,334,23,0.9970490787718402,0.9985245393859201
102,23,335,0.9879296851579753,0.9939648425789877
103,335,23,0.9879296851579753,0.9939648425789877
104,23,336,0.9330530969023156,0.9665265484511578
105,336,23,0.9330530969023156,0.9665265484511578
106,23,337,0.9957259483082672,0.9978629741541336
107,337,23,0.9957259483082672,0.9978629741541336
108,23,342,0.9950591473103187,0.9975295736551594
109,342,23,0.9950591473103187,0.9975295736551594
110,23,345,0.9876963980919338,0.9938481990459669
111,345,23,0.9876963980919338,0.9938481990459669
112,23,346,0.9949085355001657,0.9974542677500828
113,346,23,0.9949085355001657,0.9974542677500828
114,23,351,0.9956634570873841,0.9978317285436921
115,351,23,0.9956634570873841,0.9978317285436921
116,23,353,0.9933797713659378,0.9966898856829689
117,353,23,0.9933797713659378,0.9966898856829689
118,23,354,0.9940121105170896,0.9970060552585448
119,354,23,0.9940121105170896,0.9970060552585448
120,23,365,0.9783913174802337,0.9891956587401168
121,365,23,0.9783913174802337,0.9891956587401168
122,23,380,0.9942098302356781,0.997104915117839
123,380,23,0.9942098302356781,0.997104915117839
124,23,383,0.9929349937976102,0.9964674968988051
125,383,23,0.9929349937976102,0.9964674968988051
126,23,404,0.9930782037707448,0.9965391018853724
127,404,23,0.9930782037707448,0.9965391018853724
