,A,B,gates,depth,2-gates,RZ,SX,CZ
442,53,77,382,285,68,142,162,68
443,53,81,377,285,70,134,163,70
444,53,82,383,293,72,134,165,72
445,53,83,389,299,72,140,165,72
446,53,84,385,296,72,136,165,72
447,53,85,378,283,68,139,162,68
448,53,93,379,286,68,140,162,68
449,53,98,393,298,72,143,165,72
450,53,99,380,288,70,137,163,70
451,53,104,373,282,70,131,163,70
452,53,106,384,288,70,139,165,70
453,53,107,383,292,72,134,165,72
454,53,109,383,291,70,140,163,70
455,53,113,387,297,72,139,165,72
456,53,114,383,287,68,143,162,68
457,53,115,380,287,68,140,162,68
458,53,117,379,284,68,140,162,68
459,53,165,392,296,72,142,165,72
460,53,166,378,284,68,138,162,68
461,53,198,390,297,72,140,165,72
462,53,199,376,287,70,133,163,70
463,53,233,381,289,68,141,162,68
464,53,234,392,296,72,143,165,72
465,53,240,381,288,70,138,163,70
466,53,241,381,289,68,141,162,68
467,53,249,390,297,72,141,165,72
468,53,251,385,293,70,141,163,70
469,53,252,383,291,72,134,165,72
470,53,254,378,285,68,139,162,68
471,53,256,381,289,70,138,163,70
472,53,261,381,286,68,142,162,68
473,53,262,385,291,70,141,163,70
474,53,263,382,286,68,142,162,68
475,53,302,385,293,72,136,165,72
476,53,306,382,291,70,139,163,70
477,53,317,381,285,68,141,162,68
478,53,325,374,283,70,132,163,70
479,53,334,383,290,70,138,165,70
480,53,335,378,285,68,138,162,68
481,53,336,382,292,70,139,163,70
482,53,337,379,288,70,136,163,70
483,53,342,380,286,68,141,162,68
484,53,345,381,286,68,142,162,68
485,53,346,389,298,72,140,165,72
486,53,351,380,285,68,141,162,68
487,53,353,381,290,70,138,163,70
488,53,354,390,294,70,144,165,70
489,53,365,382,292,70,139,163,70
490,53,380,379,283,68,140,162,68
491,53,383,378,286,70,135,163,70
492,53,404,382,285,68,142,162,68
493,53,406,376,282,68,137,162,68
494,53,411,374,281,68,135,162,68
495,53,416,379,285,68,140,162,68
496,53,419,379,286,68,140,162,68
497,53,420,384,293,70,140,163,70
498,53,421,379,284,68,140,162,68
499,53,424,379,288,70,136,163,70
500,53,425,380,288,70,137,163,70
501,53,426,378,282,68,139,162,68
502,53,428,374,280,68,135,162,68
503,53,435,380,285,68,141,162,68
504,55,57,377,285,70,134,163,70
505,55,59,378,284,68,137,162,68
506,55,63,380,284,68,139,162,68
507,55,67,382,289,70,138,163,70
508,55,69,379,283,68,139,162,68
509,55,74,381,284,68,141,162,68
510,55,77,382,284,68,141,162,68
511,55,81,381,288,72,134,165,72
512,55,82,382,290,70,138,163,70
513,55,83,382,289,68,141,162,68
514,55,84,380,292,72,133,165,72
515,55,85,378,282,68,138,162,68
516,55,93,379,285,68,139,162,68
517,55,98,383,286,68,142,162,68
518,55,99,381,287,68,140,162,68
519,55,104,375,283,70,132,163,70
520,55,106,381,284,68,141,162,68
521,55,107,379,284,68,138,162,68
522,55,109,383,290,70,139,163,70
523,55,113,382,293,72,136,165,72
524,55,114,381,284,68,140,162,68
525,55,115,380,286,68,139,162,68
526,55,117,383,287,70,138,165,70
527,55,165,381,284,68,140,162,68
528,55,166,380,288,70,135,163,70
529,55,198,384,288,70,139,165,70
530,55,199,376,288,72,129,165,72
531,55,233,381,288,68,140,162,68
532,55,234,387,292,70,141,165,70
533,55,240,382,284,68,141,162,68
534,55,241,383,293,72,136,165,72
535,55,249,387,295,72,140,165,72
536,55,251,383,287,68,142,162,68
537,55,252,373,282,70,130,163,70
538,55,254,379,290,72,132,165,72
539,55,256,382,291,72,136,165,72
540,55,261,379,283,68,139,162,68
541,55,262,387,292,70,142,163,70
542,55,263,382,285,68,141,162,68
543,55,302,376,284,70,131,163,70
544,55,306,387,293,72,139,165,72
545,55,317,383,286,68,142,162,68
546,55,325,380,289,72,133,165,72
547,55,334,382,292,72,135,165,72
548,55,335,383,292,72,136,165,72
549,55,336,383,289,68,143,162,68
550,55,337,379,287,70,135,163,70
551,55,342,380,285,68,140,162,68
552,55,345,385,294,72,138,165,72
553,55,346,385,290,70,140,163,70
554,55,351,380,284,68,140,162,68
555,55,353,383,292,72,136,165,72
556,55,354,383,290,70,139,163,70
557,55,365,382,291,70,138,163,70
558,55,380,388,287,70,141,167,70
559,55,383,378,285,70,134,163,70
560,55,404,383,290,72,136,165,72
561,55,406,376,281,68,136,162,68
562,55,411,379,288,72,133,165,72
563,55,416,378,286,70,135,163,70
564,55,419,378,287,70,135,163,70
565,55,420,383,294,72,136,165,72
566,55,421,380,288,70,136,163,70
567,55,424,379,287,70,135,163,70
568,55,425,380,290,72,134,165,72
569,55,426,383,291,72,135,165,72
570,55,428,374,282,70,131,163,70
571,55,435,380,288,70,137,163,70
572,57,59,378,291,72,129,165,72
573,57,63,376,285,70,131,163,70
574,57,67,376,283,68,135,162,68
575,57,69,376,281,68,136,162,68
576,57,74,376,280,68,136,162,68
577,57,77,382,285,70,135,165,70
578,57,81,374,278,68,133,162,68
579,57,82,377,286,70,133,163,70
580,57,83,377,285,68,136,162,68
581,57,84,380,292,72,131,165,72
582,57,85,374,282,70,131,163,70
583,57,93,376,283,68,136,162,68
584,57,98,379,287,70,134,163,70
585,57,99,382,290,72,133,165,72
586,57,104,380,286,72,131,165,72
587,57,106,376,280,68,136,162,68
588,57,107,375,285,70,131,163,70
589,57,109,377,282,68,136,162,68
590,57,113,376,284,68,135,162,68
591,57,114,383,287,70,136,165,70
592,57,115,378,286,70,133,163,70
593,57,117,380,289,72,131,165,72
594,57,165,386,292,72,136,165,72
595,57,166,377,286,70,132,163,70
596,57,198,375,280,68,135,162,68
597,57,199,371,279,68,131,162,68
598,57,233,381,290,70,136,163,70
599,57,234,386,292,72,137,165,72
600,57,240,379,282,68,138,162,68
601,57,241,383,291,70,136,165,70
602,57,249,380,287,70,135,163,70
603,57,251,383,288,70,136,165,70
604,57,252,374,282,70,128,165,70
605,57,254,377,288,72,128,165,72
606,57,256,379,283,68,138,162,68
607,57,261,376,281,68,136,162,68
608,57,262,382,288,70,137,163,70
609,57,263,376,284,70,132,163,70
610,57,302,374,279,68,133,162,68
611,57,306,377,286,70,133,163,70
612,57,317,378,282,68,137,162,68
613,57,325,371,280,70,128,163,70
614,57,334,382,292,72,133,165,72
615,57,335,378,285,70,131,165,70
616,57,336,383,290,70,137,165,70
617,57,337,375,280,68,134,162,68
618,57,342,375,281,68,135,162,68
619,57,345,383,292,72,134,165,72
620,57,346,379,282,68,138,162,68
621,57,351,382,287,70,136,165,70
622,57,353,376,283,68,135,162,68
623,57,354,380,284,68,139,162,68
624,57,365,375,283,68,135,162,68
625,57,380,374,282,70,131,163,70
626,57,383,375,283,70,131,163,70
627,57,404,383,290,72,134,165,72
628,57,406,378,289,72,129,165,72
629,57,411,369,276,68,129,162,68
630,57,416,375,284,70,132,163,70
631,57,419,374,281,68,134,162,68
632,57,420,391,296,70,142,167,70
633,57,421,377,286,70,133,163,70
634,57,424,373,278,68,133,162,68
635,57,425,380,290,72,132,165,72
636,57,426,373,277,68,133,162,68
637,57,428,369,278,70,126,163,70
638,57,435,380,285,70,134,165,70
639,59,63,372,283,70,128,163,70
640,59,67,377,289,72,131,164,72
641,59,69,378,292,72,133,164,72
642,59,74,372,280,68,133,162,68
643,59,77,377,290,72,132,164,72
644,59,81,368,280,70,125,163,70
645,59,82,373,286,70,130,163,70
646,59,83,373,285,68,133,162,68
647,59,84,377,291,72,131,164,72
648,59,85,378,285,70,133,165,70
649,59,93,378,290,72,133,164,72
650,59,98,372,280,68,132,162,68
651,59,99,373,285,70,130,163,70
652,59,104,367,275,68,128,162,68
653,59,106,373,283,70,131,163,70
654,59,107,372,282,68,132,162,68
655,59,109,374,284,70,131,163,70
656,59,113,373,286,70,130,163,70
657,59,114,372,280,68,132,162,68
658,59,115,381,291,72,134,164,72
659,59,117,372,279,68,133,162,68
660,59,165,374,284,70,130,163,70
661,59,166,371,279,68,131,162,68
662,59,198,380,287,70,135,165,70
663,59,199,369,282,70,126,163,70
664,59,233,372,284,68,132,162,68
665,59,234,375,286,70,132,163,70
666,59,240,380,290,72,135,164,72
667,59,241,380,292,72,134,164,72
668,59,249,372,283,68,132,162,68
669,59,251,372,281,68,132,162,68
670,59,252,364,278,70,122,163,70
671,59,254,371,280,68,132,162,68
672,59,256,373,281,68,133,162,68
673,59,261,381,288,70,136,165,70
674,59,262,383,294,72,137,164,72
675,59,263,373,281,68,133,162,68
676,59,302,369,280,70,125,163,70
677,59,306,384,292,72,137,164,72
678,59,317,372,280,68,132,162,68
679,59,325,377,288,72,131,164,72
680,59,334,379,291,72,133,164,72
681,59,335,372,284,70,128,163,70
682,59,336,381,294,72,135,164,72
683,59,337,385,290,72,137,166,72
684,59,342,379,292,72,133,164,72
685,59,345,372,281,68,133,162,68
686,59,346,381,293,72,135,164,72
687,59,351,373,280,68,134,162,68
688,59,353,374,285,70,131,163,70
689,59,354,376,284,68,136,162,68
690,59,365,375,287,70,132,163,70
691,59,380,370,276,68,131,162,68
692,59,383,377,287,72,131,164,72
693,59,404,372,283,70,129,163,70
694,59,406,367,277,68,128,162,68
695,59,411,376,287,72,131,164,72
696,59,416,381,289,70,136,165,70
697,59,419,372,281,68,133,162,68
698,59,420,377,288,70,133,163,70
699,59,421,372,279,68,133,162,68
700,59,424,378,285,70,133,165,70
701,59,425,377,289,72,132,164,72
702,59,426,378,284,70,133,165,70
703,59,428,365,276,70,123,163,70
704,59,435,373,280,68,134,162,68
705,63,67,372,283,68,132,162,68
706,63,69,372,281,68,133,162,68
707,63,74,374,285,70,131,163,70
708,63,77,372,283,70,129,163,70
709,63,81,370,282,70,127,163,70
710,63,82,376,289,72,129,165,72
711,63,83,383,295,72,136,165,72
712,63,84,370,278,68,131,162,68
713,63,85,372,282,70,130,163,70
714,63,93,371,283,70,129,163,70
715,63,98,375,287,70,131,163,70
716,63,99,381,290,72,134,165,72
717,63,104,369,277,68,130,162,68
718,63,106,374,280,68,135,162,68
719,63,107,378,288,70,132,165,70
720,63,109,380,290,72,134,165,72
721,63,113,379,291,72,133,165,72
722,63,114,374,282,68,134,162,68
723,63,115,373,284,68,133,162,68
724,63,117,377,287,72,130,165,72
725,63,165,385,292,72,137,165,72
726,63,166,373,281,68,133,162,68
727,63,198,373,280,68,134,162,68
728,63,199,369,282,70,126,163,70
729,63,233,375,288,70,131,163,70
730,63,234,377,288,70,134,163,70
731,63,240,375,282,68,135,162,68
732,63,241,382,293,72,135,165,72
733,63,249,384,293,72,137,165,72
734,63,251,376,288,70,132,163,70
735,63,252,366,280,70,124,163,70
736,63,254,373,282,68,134,162,68
737,63,256,375,283,68,135,162,68
738,63,261,376,285,70,133,163,70
739,63,262,376,283,68,136,162,68
740,63,263,373,281,68,133,162,68
741,63,302,371,282,70,127,163,70
742,63,306,372,280,68,133,162,68
743,63,317,380,288,70,134,165,70
744,63,325,367,280,70,125,163,70
745,63,334,379,290,72,132,165,72
746,63,335,372,284,70,128,163,70
747,63,336,383,295,72,136,165,72
748,63,337,370,283,70,127,163,70
749,63,342,375,283,68,136,162,68
750,63,345,378,287,70,133,165,70
751,63,346,383,294,72,136,165,72
752,63,351,381,288,70,136,165,70
753,63,353,374,283,68,134,162,68
754,63,354,382,291,72,135,165,72
755,63,365,373,283,68,134,162,68
756,63,380,372,278,68,133,162,68
757,63,383,371,283,70,128,163,70
758,63,404,373,280,68,133,162,68
759,63,406,367,277,68,128,162,68
760,63,411,366,278,70,124,163,70
761,63,416,373,284,70,131,163,70
762,63,419,379,290,72,133,165,72
763,63,420,377,285,68,137,162,68
764,63,421,372,279,68,133,162,68
765,63,424,374,285,70,131,163,70
766,63,425,372,283,68,132,162,68
767,63,426,380,289,72,132,165,72
768,63,428,367,278,70,125,163,70
769,63,435,373,284,70,131,163,70
770,67,69,377,282,68,139,160,68
771,67,74,379,286,70,137,161,70
772,67,77,378,281,68,139,160,68
773,67,81,379,287,72,132,165,72
774,67,82,377,290,72,130,165,72
775,67,83,380,288,68,141,160,68
776,67,84,374,284,70,132,161,70
777,67,85,376,281,68,138,160,68
778,67,93,374,284,70,133,161,70
779,67,98,379,283,68,140,160,68
780,67,99,382,291,72,135,165,72
781,67,104,379,285,70,135,165,70
782,67,106,376,284,70,135,161,70
783,67,107,376,286,70,134,161,70
784,67,109,378,283,68,139,160,68
785,67,113,384,292,70,139,165,70
786,67,114,383,292,72,137,165,72
787,67,115,376,283,68,137,160,68
788,67,117,377,282,68,139,160,68
789,67,165,377,285,70,134,161,70
790,67,166,378,287,70,135,161,70
791,67,198,377,286,70,135,161,70
792,67,199,376,289,72,129,165,72
