,A,B,gates,depth,2-gates,Gates
72,23,426,378,286,70,"Counter({'sx': 163, 'rz': 134, 'cz': 70, 'x': 7, 'measure': 4})"
73,23,428,375,281,68,"Counter({'sx': 162, 'rz': 135, 'cz': 68, 'x': 6, 'measure': 4})"
74,23,435,385,290,70,"Counter({'sx': 165, 'rz': 139, 'cz': 70, 'x': 7, 'measure': 4})"
75,32,35,375,281,70,"Counter({'sx': 163, 'rz': 132, 'cz': 70, 'x': 6, 'measure': 4})"
76,32,36,369,279,70,"Counter({'sx': 161, 'rz': 127, 'cz': 70, 'x': 7, 'measure': 4})"
77,32,37,372,281,70,"Counter({'sx': 161, 'rz': 130, 'cz': 70, 'x': 7, 'measure': 4})"
78,32,50,374,286,72,"Counter({'sx': 165, 'rz': 129, 'cz': 72, 'x': 4, 'measure': 4})"
79,32,53,375,280,68,"Counter({'sx': 160, 'rz': 137, 'cz': 68, 'x': 6, 'measure': 4})"
80,32,55,372,281,70,"Counter({'sx': 161, 'rz': 130, 'cz': 70, 'x': 7, 'measure': 4})"
81,32,57,369,275,68,"Counter({'sx': 160, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
82,32,59,369,276,68,"Counter({'sx': 160, 'rz': 130, 'cz': 68, 'x': 7, 'measure': 4})"
83,32,63,371,276,68,"Counter({'sx': 160, 'rz': 132, 'cz': 68, 'x': 7, 'measure': 4})"
84,32,67,373,281,70,"Counter({'sx': 161, 'rz': 131, 'cz': 70, 'x': 7, 'measure': 4})"
85,32,69,372,277,68,"Counter({'sx': 160, 'rz': 134, 'cz': 68, 'x': 6, 'measure': 4})"
86,32,74,372,276,68,"Counter({'sx': 160, 'rz': 134, 'cz': 68, 'x': 6, 'measure': 4})"
87,32,77,375,278,68,"Counter({'sx': 160, 'rz': 136, 'cz': 68, 'x': 7, 'measure': 4})"
88,32,81,370,278,70,"Counter({'sx': 161, 'rz': 128, 'cz': 70, 'x': 7, 'measure': 4})"
89,32,82,373,278,68,"Counter({'sx': 160, 'rz': 134, 'cz': 68, 'x': 7, 'measure': 4})"
90,32,83,379,291,72,"Counter({'sx': 165, 'rz': 133, 'cz': 72, 'x': 5, 'measure': 4})"
91,32,84,370,276,68,"Counter({'sx': 160, 'rz': 132, 'cz': 68, 'x': 6, 'measure': 4})"
92,32,85,370,278,70,"Counter({'sx': 161, 'rz': 129, 'cz': 70, 'x': 6, 'measure': 4})"
93,32,93,378,289,72,"Counter({'sx': 165, 'rz': 133, 'cz': 72, 'x': 4, 'measure': 4})"
94,32,98,379,283,70,"Counter({'sx': 163, 'rz': 135, 'cz': 70, 'x': 7, 'measure': 4})"
95,32,99,372,279,68,"Counter({'sx': 160, 'rz': 133, 'cz': 68, 'x': 7, 'measure': 4})"
96,32,104,372,278,70,"Counter({'sx': 163, 'rz': 129, 'cz': 70, 'x': 6, 'measure': 4})"
97,32,106,371,279,70,"Counter({'sx': 161, 'rz': 130, 'cz': 70, 'x': 6, 'measure': 4})"
98,32,107,372,278,68,"Counter({'sx': 160, 'rz': 133, 'cz': 68, 'x': 7, 'measure': 4})"
99,32,109,373,278,68,"Counter({'sx': 160, 'rz': 134, 'cz': 68, 'x': 7, 'measure': 4})"
100,32,113,372,280,68,"Counter({'sx': 160, 'rz': 133, 'cz': 68, 'x': 7, 'measure': 4})"
101,32,114,374,278,68,"Counter({'sx': 160, 'rz': 135, 'cz': 68, 'x': 7, 'measure': 4})"
102,32,115,371,278,68,"Counter({'sx': 160, 'rz': 132, 'cz': 68, 'x': 7, 'measure': 4})"
103,32,117,378,288,72,"Counter({'sx': 166, 'rz': 131, 'cz': 72, 'x': 5, 'measure': 4})"
104,32,165,372,276,68,"Counter({'sx': 160, 'rz': 133, 'cz': 68, 'x': 7, 'measure': 4})"
105,32,166,373,282,70,"Counter({'sx': 161, 'rz': 130, 'cz': 70, 'x': 8, 'measure': 4})"
106,32,198,373,278,68,"Counter({'sx': 160, 'rz': 135, 'cz': 68, 'x': 6, 'measure': 4})"
107,32,199,372,280,70,"Counter({'sx': 163, 'rz': 129, 'cz': 70, 'x': 6, 'measure': 4})"
108,32,233,374,282,68,"Counter({'sx': 160, 'rz': 135, 'cz': 68, 'x': 7, 'measure': 4})"
109,32,234,376,282,68,"Counter({'sx': 160, 'rz': 137, 'cz': 68, 'x': 7, 'measure': 4})"
110,32,240,378,287,72,"Counter({'sx': 165, 'rz': 133, 'cz': 72, 'x': 4, 'measure': 4})"
111,32,241,380,291,72,"Counter({'sx': 165, 'rz': 134, 'cz': 72, 'x': 5, 'measure': 4})"
112,32,249,382,291,72,"Counter({'sx': 165, 'rz': 136, 'cz': 72, 'x': 5, 'measure': 4})"
113,32,251,374,279,68,"Counter({'sx': 160, 'rz': 135, 'cz': 68, 'x': 7, 'measure': 4})"
114,32,252,374,285,72,"Counter({'sx': 165, 'rz': 128, 'cz': 72, 'x': 5, 'measure': 4})"
