,A,B,gates,depth,2-gates,Gates
76,32,36,572,403,110,"Counter({'sx': 245, 'rz': 190, 'cz': 110, 'x': 23, 'measure': 4})"
77,32,37,577,410,110,"Counter({'sx': 245, 'rz': 195, 'cz': 110, 'x': 23, 'measure': 4})"
78,32,50,577,393,106,"Counter({'sx': 248, 'rz': 199, 'cz': 106, 'x': 20, 'measure': 4})"
79,32,53,581,416,110,"Counter({'sx': 245, 'rz': 200, 'cz': 110, 'x': 22, 'measure': 4})"
80,32,55,580,394,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 22, 'measure': 4})"
81,32,57,573,408,108,"Counter({'sx': 244, 'rz': 195, 'cz': 108, 'x': 22, 'measure': 4})"
82,32,59,581,394,106,"Counter({'sx': 248, 'rz': 201, 'cz': 106, 'x': 22, 'measure': 4})"
83,32,63,579,397,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 21, 'measure': 4})"
84,32,67,588,399,108,"Counter({'sx': 253, 'rz': 201, 'cz': 108, 'x': 22, 'measure': 4})"
85,32,69,580,396,106,"Counter({'sx': 248, 'rz': 201, 'cz': 106, 'x': 21, 'measure': 4})"
86,32,74,572,408,108,"Counter({'sx': 244, 'rz': 196, 'cz': 108, 'x': 20, 'measure': 4})"
87,32,77,569,406,108,"Counter({'sx': 244, 'rz': 192, 'cz': 108, 'x': 21, 'measure': 4})"
88,32,81,575,409,110,"Counter({'sx': 245, 'rz': 195, 'cz': 110, 'x': 21, 'measure': 4})"
89,32,82,582,414,110,"Counter({'sx': 245, 'rz': 200, 'cz': 110, 'x': 23, 'measure': 4})"
90,32,83,570,406,108,"Counter({'sx': 244, 'rz': 194, 'cz': 108, 'x': 20, 'measure': 4})"
91,32,84,578,410,110,"Counter({'sx': 245, 'rz': 197, 'cz': 110, 'x': 22, 'measure': 4})"
92,32,85,575,408,110,"Counter({'sx': 245, 'rz': 194, 'cz': 110, 'x': 22, 'measure': 4})"
93,32,93,580,413,110,"Counter({'sx': 245, 'rz': 198, 'cz': 110, 'x': 23, 'measure': 4})"
94,32,98,574,409,110,"Counter({'sx': 243, 'rz': 193, 'cz': 110, 'x': 24, 'measure': 4})"
95,32,99,577,396,106,"Counter({'sx': 248, 'rz': 198, 'cz': 106, 'x': 21, 'measure': 4})"
96,32,104,586,401,108,"Counter({'sx': 253, 'rz': 201, 'cz': 108, 'x': 20, 'measure': 4})"
97,32,106,572,407,108,"Counter({'sx': 244, 'rz': 194, 'cz': 108, 'x': 22, 'measure': 4})"
98,32,107,577,396,106,"Counter({'sx': 248, 'rz': 198, 'cz': 106, 'x': 21, 'measure': 4})"
99,32,109,579,398,106,"Counter({'sx': 248, 'rz': 201, 'cz': 106, 'x': 20, 'measure': 4})"
100,32,113,576,409,110,"Counter({'sx': 245, 'rz': 195, 'cz': 110, 'x': 22, 'measure': 4})"
101,32,114,578,397,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 20, 'measure': 4})"
102,32,115,581,395,106,"Counter({'sx': 248, 'rz': 201, 'cz': 106, 'x': 22, 'measure': 4})"
103,32,117,581,399,106,"Counter({'sx': 249, 'rz': 201, 'cz': 106, 'x': 21, 'measure': 4})"
104,32,165,569,406,108,"Counter({'sx': 244, 'rz': 192, 'cz': 108, 'x': 21, 'measure': 4})"
105,32,166,597,404,108,"Counter({'sx': 255, 'rz': 208, 'cz': 108, 'x': 22, 'measure': 4})"
106,32,198,581,412,110,"Counter({'sx': 245, 'rz': 198, 'cz': 110, 'x': 24, 'measure': 4})"
107,32,199,574,392,106,"Counter({'sx': 248, 'rz': 195, 'cz': 106, 'x': 21, 'measure': 4})"
108,32,233,578,393,106,"Counter({'sx': 248, 'rz': 199, 'cz': 106, 'x': 21, 'measure': 4})"
