,A,B,gates,depth,2-gates,RZ,SX,CZ
392,50,198,379,282,68,137,160,68
393,50,199,382,288,72,129,164,72
394,50,233,382,282,68,140,160,68
395,50,234,381,282,68,139,160,68
396,50,240,380,282,68,138,160,68
397,50,241,388,291,70,141,161,70
398,50,249,387,291,72,135,164,72
399,50,251,384,287,70,137,161,70
400,50,252,384,288,72,132,164,72
401,50,254,383,286,70,137,161,70
402,50,256,387,287,70,138,163,70
403,50,261,383,288,70,136,161,70
404,50,262,383,287,70,135,163,70
405,50,263,377,279,68,135,160,68
406,50,302,382,287,72,130,164,72
407,50,306,378,281,68,135,160,68
408,50,317,382,285,68,139,160,68
409,50,325,373,276,68,130,160,68
410,50,334,378,283,70,132,161,70
411,50,335,378,281,68,135,160,68
412,50,336,388,293,72,136,164,72
413,50,337,382,285,70,136,161,70
414,50,342,384,288,72,132,164,72
415,50,345,380,281,68,138,160,68
416,50,346,379,283,68,136,160,68
417,50,351,387,292,72,134,164,72
418,50,353,383,284,68,140,160,68
419,50,354,388,293,72,136,164,72
420,50,365,382,286,70,136,161,70
421,50,380,382,285,70,134,163,70
422,50,383,379,280,68,137,160,68
423,50,404,381,286,70,135,161,70
424,50,406,379,283,70,133,161,70
425,50,411,387,286,70,138,163,70
426,50,416,379,283,68,136,160,68
427,50,419,383,282,68,140,160,68
428,50,420,383,286,68,140,160,68
429,50,421,380,284,70,135,161,70
430,50,424,386,291,72,134,164,72
431,50,425,390,294,72,137,164,72
432,50,426,381,281,68,138,160,68
433,50,428,381,284,70,134,161,70
434,50,435,379,279,68,137,160,68
435,53,55,384,286,68,141,162,68
436,53,57,377,281,68,135,162,68
437,53,59,383,289,70,136,163,70
438,53,63,377,282,68,135,162,68
439,53,67,377,281,68,135,162,68
440,53,69,383,285,68,140,162,68
441,53,74,379,287,70,133,163,70
442,53,77,382,283,68,139,162,68
443,53,81,377,280,68,135,162,68
444,53,82,378,281,68,136,162,68
445,53,83,383,287,68,140,162,68
446,53,84,376,283,70,131,163,70
447,53,85,381,284,70,134,165,70
448,53,93,382,286,70,135,165,70
449,53,98,384,290,70,138,163,70
450,53,99,379,287,70,133,163,70
451,53,104,380,284,70,133,165,70
452,53,106,379,284,68,137,162,68
453,53,107,378,286,70,133,163,70
454,53,109,377,281,68,134,162,68
455,53,113,385,292,72,135,166,72
456,53,114,380,286,68,138,162,68
457,53,115,380,287,70,134,163,70
458,53,117,380,286,68,137,162,68
459,53,165,384,291,72,133,166,72
460,53,166,379,284,68,137,162,68
461,53,198,379,287,70,133,163,70
462,53,199,376,283,68,133,162,68
463,53,233,385,287,70,138,165,70
464,53,234,383,290,72,133,166,72
465,53,240,379,283,68,137,162,68
466,53,241,382,287,68,139,162,68
467,53,249,383,289,70,137,163,70
468,53,251,385,290,70,138,163,70
469,53,252,382,288,72,131,166,72
470,53,254,385,289,70,137,165,70
471,53,256,382,288,70,135,163,70
472,53,261,382,289,70,135,163,70
