,A,B,mean_value,fidelity,probs
22,23,69,3.8146972656249843e-06,0.9974483957175633,"[1.67174718e-03 1.71045466e-03 1.70206572e-03 ... 2.29815514e-10
 1.16657154e-10 9.45230345e-12]"
23,69,23,3.8146972656249843e-06,0.9974483957175633,"[1.67174718e-03 1.71045466e-03 1.70206572e-03 ... 2.29815514e-10
 1.16657154e-10 9.45230345e-12]"
24,23,74,3.8146972656249843e-06,0.9974347921172344,"[1.66890631e-03 1.71687854e-03 1.69730832e-03 ... 2.37469034e-10
 1.02219582e-10 1.61234202e-11]"
25,74,23,3.8146972656249843e-06,0.9974347921172344,"[1.66890631e-03 1.71687854e-03 1.69730832e-03 ... 2.37469034e-10
 1.02219582e-10 1.61234202e-11]"
26,23,77,3.814697265624983e-06,0.9978844637558126,"[1.66922412e-03 1.70035423e-03 1.69701511e-03 ... 2.45489842e-10
 1.37200604e-10 3.57649988e-12]"
27,77,23,3.814697265624983e-06,0.9978844637558126,"[1.66922412e-03 1.70035423e-03 1.69701511e-03 ... 2.45489842e-10
 1.37200604e-10 3.57649988e-12]"
28,23,81,3.8146972656249843e-06,0.9957661574733997,"[1.65841249e-03 1.69888582e-03 1.67870172e-03 ... 2.52653693e-10
 1.24438010e-10 9.67044562e-12]"
29,81,23,3.8146972656249843e-06,0.9957661574733997,"[1.65841249e-03 1.69888582e-03 1.67870172e-03 ... 2.52653693e-10
 1.24438010e-10 9.67044562e-12]"
30,23,82,3.814697265624983e-06,0.9965271745414019,"[1.66843554e-03 1.70720199e-03 1.69173412e-03 ... 1.73086682e-10
 8.54633130e-11 1.59482751e-11]"
31,82,23,3.814697265624983e-06,0.9965271745414019,"[1.66843554e-03 1.70720199e-03 1.69173412e-03 ... 1.73086682e-10
 8.54633130e-11 1.59482751e-11]"
32,23,83,3.814697265624984e-06,0.9987224749325868,"[1.67386292e-03 1.70701659e-03 1.70412890e-03 ... 3.12581521e-10
 1.72111958e-10 2.12012635e-12]"
33,83,23,3.814697265624984e-06,0.9987224749325868,"[1.67386292e-03 1.70701659e-03 1.70412890e-03 ... 3.12581521e-10
 1.72111958e-10 2.12012635e-12]"
