,A,B,exp_value,fidelity
158,32,53,0.9763380869592779,0.988169043479639
159,53,32,0.9763380869592779,0.988169043479639
160,32,55,0.9736758668582348,0.9868379334291174
161,55,32,0.9736758668582348,0.9868379334291174
162,32,57,0.9720759126202629,0.9860379563101315
163,57,32,0.9720759126202629,0.9860379563101315
164,32,59,0.9806905204479152,0.9903452602239575
165,59,32,0.9806905204479152,0.9903452602239575
166,32,63,0.9180402950637172,0.9590201475318586
167,63,32,0.9180402950637172,0.9590201475318586
168,32,67,0.9857249412637505,0.9928624706318753
169,67,32,0.9857249412637505,0.9928624706318753
170,32,69,0.9844504288967637,0.9922252144483819
171,69,32,0.9844504288967637,0.9922252144483819
172,32,74,0.9830428415178794,0.9915214207589397
173,74,32,0.9830428415178794,0.9915214207589397
174,32,77,0.9735948774245152,0.9867974387122576
175,77,32,0.9735948774245152,0.9867974387122576
176,32,81,0.9677516141826048,0.9838758070913024
177,81,32,0.9677516141826048,0.9838758070913024
178,32,82,0.9782718970742899,0.9891359485371449
179,82,32,0.9782718970742899,0.9891359485371449
180,32,83,0.9768859812566442,0.9884429906283221
181,83,32,0.9768859812566442,0.9884429906283221
182,32,84,0.9725254618795225,0.9862627309397612
183,84,32,0.9725254618795225,0.9862627309397612
184,32,85,0.9637082137493371,0.9818541068746686
185,85,32,0.9637082137493371,0.9818541068746686
186,32,93,0.9767220542699045,0.9883610271349523
187,93,32,0.9767220542699045,0.9883610271349523
188,32,98,0.9752693628942525,0.9876346814471262
189,98,32,0.9752693628942525,0.9876346814471262
190,32,99,0.9835854721230812,0.9917927360615406
191,99,32,0.9835854721230812,0.9917927360615406
192,32,104,0.9770254885573519,0.988512744278676
193,104,32,0.9770254885573519,0.988512744278676
194,32,106,0.9862805287672629,0.9931402643836315
195,106,32,0.9862805287672629,0.9931402643836315
196,32,107,0.9757101550284091,0.9878550775142045
197,107,32,0.9757101550284091,0.9878550775142045
198,32,109,0.9803065845393703,0.9901532922696852
199,109,32,0.9803065845393703,0.9901532922696852
200,32,113,0.9892415747771464,0.9946207873885732
201,113,32,0.9892415747771464,0.9946207873885732
202,32,114,0.9780620603799156,0.9890310301899579
203,114,32,0.9780620603799156,0.9890310301899579
204,32,115,0.9393399403977138,0.9696699701988569
205,115,32,0.9393399403977138,0.9696699701988569
206,32,117,0.9798436891641142,0.9899218445820571
207,117,32,0.9798436891641142,0.9899218445820571
208,32,165,0.9716483673916467,0.9858241836958234
209,165,32,0.9716483673916467,0.9858241836958234
210,32,166,0.9852314466350112,0.9926157233175056
211,166,32,0.9852314466350112,0.9926157233175056
212,32,198,0.983733467683779,0.9918667338418895
213,198,32,0.983733467683779,0.9918667338418895
214,32,199,0.973546461345622,0.986773230672811
215,199,32,0.973546461345622,0.986773230672811
216,32,233,0.9775901594691574,0.9887950797345787
217,233,32,0.9775901594691574,0.9887950797345787
218,32,234,0.9804223550599566,0.9902111775299782
219,234,32,0.9804223550599566,0.9902111775299782
220,32,240,0.9759150146195283,0.9879575073097642
221,240,32,0.9759150146195283,0.9879575073097642
222,32,241,0.9815772032721329,0.9907886016360665
223,241,32,0.9815772032721329,0.9907886016360665
224,32,249,0.9826317313165973,0.9913158656582987
225,249,32,0.9826317313165973,0.9913158656582987
226,32,251,0.9842222926825743,0.9921111463412872
227,251,32,0.9842222926825743,0.9921111463412872
228,32,252,0.970216639474542,0.985108319737271
229,252,32,0.970216639474542,0.985108319737271
230,32,254,0.9682923336426354,0.9841461668213177
231,254,32,0.9682923336426354,0.9841461668213177
