,A,B,gates,depth,2-gates,RZ,SX,CZ
613,57,325,548,398,106,182,251,106
614,57,334,555,402,106,188,251,106
615,57,335,555,401,106,188,251,106
616,57,336,557,405,106,190,251,106
617,57,337,553,405,110,183,250,110
618,57,342,552,405,110,181,250,110
619,57,345,549,402,108,180,251,108
620,57,346,556,407,108,187,251,108
621,57,351,553,405,108,184,251,108
622,57,353,553,405,110,183,250,110
623,57,354,554,408,110,184,250,110
624,57,365,553,407,110,182,250,110
625,57,380,550,404,108,182,251,108
626,57,383,551,404,110,181,250,110
627,57,404,551,400,106,185,251,106
628,57,406,549,401,108,180,251,108
629,57,411,549,398,106,183,251,106
630,57,416,552,400,106,186,251,106
631,57,419,551,401,106,185,251,106
632,57,420,563,408,106,192,255,106
633,57,421,550,404,108,181,251,108
634,57,424,553,401,106,186,251,106
635,57,425,550,401,106,184,251,106
636,57,426,556,404,108,187,250,108
637,57,428,544,398,108,176,251,108
638,57,435,686,429,140,217,317,140
639,59,63,547,395,106,183,247,106
640,59,67,540,396,106,178,245,106
641,59,69,546,399,106,183,247,106
642,59,74,547,401,108,181,247,108
643,59,77,544,400,110,177,247,110
644,59,81,543,395,108,178,247,108
645,59,82,544,401,110,177,247,110
646,59,83,548,398,106,184,247,106
647,59,84,547,397,106,183,247,106
648,59,85,542,396,108,177,247,108
649,59,93,542,395,108,177,247,108
650,59,98,549,403,110,181,247,110
651,59,99,546,403,110,179,247,110
652,59,104,543,397,110,176,247,110
653,59,106,546,396,106,183,247,106
654,59,107,671,414,140,209,313,140
655,59,109,549,401,108,184,247,108
656,59,113,546,401,108,181,247,108
657,59,114,547,399,108,182,247,108
658,59,115,544,398,108,178,247,108
659,59,117,541,398,110,174,247,110
660,59,165,550,397,106,186,247,106
661,59,166,547,401,110,179,247,110
662,59,198,548,403,110,180,247,110
663,59,199,544,394,106,180,247,106
664,59,233,549,404,110,181,247,110
665,59,234,544,397,108,179,247,108
666,59,240,545,397,108,180,247,108
667,59,241,549,402,108,184,247,108
668,59,249,553,402,108,187,247,108
669,59,251,544,398,108,178,247,108
670,59,252,541,397,110,174,247,110
671,59,254,544,396,106,181,247,106
672,59,256,544,395,106,181,247,106
673,59,261,548,400,108,182,247,108
674,59,262,550,398,106,186,247,106
675,59,263,544,395,106,181,247,106
676,59,302,540,396,110,172,247,110
677,59,306,552,398,106,188,247,106
678,59,317,543,399,110,176,247,110
679,59,325,542,396,108,177,247,108
680,59,334,546,402,110,178,247,110
681,59,335,548,403,110,180,247,110
682,59,336,548,401,108,182,247,108
683,59,337,549,398,108,182,249,108
684,59,342,546,395,106,182,247,106
685,59,345,548,396,106,184,247,106
686,59,346,549,401,108,183,247,108
687,59,351,548,403,110,180,247,110
688,59,353,543,395,108,178,247,108
689,59,354,548,404,110,181,247,110
690,59,365,547,403,110,179,247,110
691,59,380,544,396,106,181,247,106
692,59,383,541,394,108,176,247,108
693,59,404,542,395,108,177,247,108
694,59,406,542,395,108,176,247,108
695,59,411,546,398,108,181,247,108
696,59,416,547,396,106,184,247,106
697,59,419,546,402,110,179,247,110
698,59,420,545,402,110,177,247,110
699,59,421,545,402,110,177,247,110
700,59,424,548,397,106,184,247,106
701,59,425,543,395,106,180,247,106
702,59,426,548,396,106,184,247,106
703,59,428,538,392,106,175,247,106
704,59,435,546,397,106,183,247,106
705,63,67,545,398,108,177,249,108
706,63,69,551,400,106,184,251,106
707,63,74,554,400,106,186,251,106
708,63,77,547,396,106,180,251,106
709,63,81,551,396,106,184,251,106
710,63,82,546,396,106,179,251,106
711,63,83,558,406,108,188,250,108
712,63,84,552,398,106,184,251,106
713,63,85,545,396,108,176,251,108
714,63,93,552,400,108,183,250,108
715,63,98,554,402,108,184,251,108
716,63,99,549,400,108,180,251,108
717,63,104,548,396,108,179,251,108
718,63,106,551,397,106,184,251,106
719,63,107,550,398,106,183,251,106
720,63,109,552,401,108,183,251,108
721,63,113,552,404,110,181,250,110
722,63,114,552,398,106,185,251,106
723,63,115,555,399,106,187,251,106
724,63,117,547,400,110,176,250,110
725,63,165,553,402,108,183,251,108
726,63,166,555,405,110,183,250,110
727,63,198,553,398,106,185,251,106
728,63,199,549,395,106,181,251,106
729,63,233,555,406,110,183,250,110
730,63,234,553,399,106,186,251,106
731,63,240,554,399,106,187,251,106
732,63,241,555,403,106,188,251,106
733,63,249,552,401,108,182,251,108
734,63,251,556,404,108,186,250,108
735,63,252,546,396,108,177,251,108
736,63,254,551,399,106,184,251,106
737,63,256,549,399,108,180,251,108
738,63,261,556,406,110,184,250,110
739,63,262,551,401,108,181,251,108
740,63,263,552,401,108,183,250,108
741,63,302,545,395,108,175,251,108
742,63,306,557,399,106,189,251,106
743,63,317,550,397,106,183,251,106
744,63,325,551,400,108,182,250,108
745,63,334,553,397,106,185,251,106
746,63,335,555,398,106,187,251,106
747,63,336,558,409,110,186,250,110
748,63,337,553,403,110,182,250,110
749,63,342,553,398,106,185,251,106
750,63,345,553,397,106,185,251,106
751,63,346,556,404,108,186,251,108
752,63,351,557,400,106,189,251,106
753,63,353,553,403,110,182,250,110
754,63,354,553,400,106,186,251,106
755,63,365,553,405,110,181,250,110
756,63,380,553,406,110,182,250,110
757,63,383,551,397,106,184,251,106
758,63,404,549,395,106,182,251,106
759,63,406,550,401,110,178,250,110
760,63,411,547,396,108,178,251,108
761,63,416,550,398,108,181,251,108
762,63,419,551,398,106,184,251,106
763,63,420,554,399,106,186,251,106
764,63,421,550,397,106,182,251,106
765,63,424,551,402,108,181,251,108
766,63,425,548,399,108,179,251,108
767,63,426,553,397,106,185,251,106
768,63,428,547,400,110,176,250,110
769,63,435,553,405,110,182,250,110
770,67,69,554,402,106,186,251,106
771,67,74,555,404,108,184,251,108
772,67,77,551,403,110,180,250,110
773,67,81,553,400,108,183,251,108
774,67,82,551,404,110,180,250,110
775,67,83,556,405,108,185,251,108
776,67,84,555,400,106,186,251,106
777,67,85,549,402,110,178,250,110
778,67,93,550,398,108,180,251,108
779,67,98,558,408,110,186,250,110
780,67,99,553,406,110,182,250,110
781,67,104,553,397,106,185,251,106
782,67,106,552,400,108,182,251,108
783,67,107,553,400,106,185,251,106
784,67,109,557,402,106,189,251,106
785,67,113,553,404,108,184,250,108
786,67,114,554,405,110,183,250,110
787,67,115,556,399,106,187,251,106
788,67,117,550,403,110,179,250,110
789,67,165,558,400,106,189,251,106
790,67,166,559,403,108,189,250,108
791,67,198,555,406,110,183,250,110
792,67,199,552,397,106,183,251,106
793,67,233,558,405,108,188,250,108
794,67,234,553,404,110,182,250,110
795,67,240,553,400,108,183,251,108
796,67,241,556,403,106,188,251,106
797,67,249,556,407,110,184,250,110
798,67,251,554,403,108,183,251,108
799,67,252,549,398,108,179,251,108
800,67,254,552,399,106,184,251,106
801,67,256,552,401,108,182,251,108
802,67,261,556,403,108,185,251,108
803,67,262,554,403,108,183,251,108
804,67,263,554,400,106,186,251,106
805,67,302,549,401,110,177,250,110
806,67,306,560,401,106,191,251,106
807,67,317,553,399,106,185,251,106
808,67,325,551,397,106,183,251,106
809,67,334,554,403,108,183,251,108
810,67,335,560,402,106,191,251,106
811,67,336,561,408,108,191,250,108
812,67,337,558,405,108,189,250,108
813,67,342,554,398,106,185,251,106
814,67,345,556,399,106,187,251,106
815,67,346,558,401,106,189,251,106
816,67,351,558,400,106,189,251,106
817,67,353,553,400,108,183,251,108
818,67,354,565,408,106,193,255,106
819,67,365,554,406,110,182,250,110
820,67,380,554,401,106,186,251,106
821,67,383,554,399,106,186,251,106
822,67,404,555,403,108,186,250,108
823,67,406,552,396,106,183,251,106
824,67,411,554,399,106,186,251,106
825,67,416,555,399,106,187,251,106
826,67,419,554,400,106,186,251,106
827,67,420,557,401,106,188,251,106
828,67,421,551,401,108,180,251,108
829,67,424,558,402,106,189,251,106
830,67,425,554,404,108,185,250,108
831,67,426,684,428,140,216,317,140
832,67,428,548,401,110,177,250,110
833,67,435,553,402,108,183,251,108
834,69,74,553,399,106,186,250,106
835,69,77,548,398,108,180,250,108
836,69,81,552,401,110,183,249,110
837,69,82,549,401,110,180,249,110
838,69,83,554,400,106,187,250,106
839,69,84,553,399,106,186,250,106
840,69,85,547,399,110,178,249,110
841,69,93,548,397,108,180,250,108
842,69,98,560,403,108,192,249,108
843,69,99,553,405,110,184,249,110
844,69,104,551,396,106,185,250,106
845,69,106,552,398,106,186,250,106
846,69,107,549,398,108,181,250,108
847,69,109,555,401,106,189,250,106
848,69,113,559,406,108,187,254,108
849,69,114,553,399,106,187,250,106
850,69,115,550,400,108,181,250,108
851,69,117,548,400,110,179,249,110
852,69,165,559,403,108,191,249,108
853,69,166,557,400,108,189,249,108
854,69,198,554,399,106,187,250,106
855,69,199,550,401,110,180,249,110
856,69,233,555,400,106,188,250,106
857,69,234,552,398,106,186,250,106
858,69,240,554,403,110,185,249,110
859,69,241,555,404,108,187,250,108
860,69,249,553,402,108,184,250,108
861,69,251,554,400,106,187,250,106
862,69,252,545,395,108,177,250,108
863,69,254,550,399,108,182,250,108
864,69,256,548,398,108,180,250,108
865,69,261,555,404,110,185,249,110
866,69,262,556,400,106,189,250,106
867,69,263,550,397,106,184,250,106
868,69,302,549,400,110,179,249,110
869,69,306,556,398,106,189,250,106
870,69,317,549,399,108,181,250,108
871,69,325,548,398,108,180,250,108
872,69,334,550,400,108,181,250,108
873,69,335,555,405,110,185,249,110
874,69,336,558,403,106,191,250,106
875,69,337,554,403,110,185,249,110
876,69,342,550,399,108,181,250,108
877,69,345,555,400,108,187,249,108
878,69,346,556,400,106,189,250,106
879,69,351,556,399,106,189,250,106
880,69,353,549,396,106,183,250,106
881,69,354,554,401,106,188,250,106
882,69,365,551,401,108,182,250,108
883,69,380,551,402,108,183,250,108
884,69,383,550,396,106,184,250,106
885,69,404,550,396,106,184,250,106
886,69,406,551,401,110,181,249,110
887,69,411,550,396,106,184,250,106
888,69,416,551,399,108,183,250,108
889,69,419,552,399,106,186,250,106
890,69,420,551,402,108,182,250,108
891,69,421,554,402,108,186,249,108
892,69,424,553,405,110,183,249,110
893,69,425,552,401,108,185,249,108
894,69,426,554,398,106,187,250,106
895,69,428,549,400,108,182,249,108
896,69,435,552,399,106,186,250,106
897,74,77,548,399,108,179,251,108
898,74,81,551,400,108,182,251,108
899,74,82,547,398,106,180,251,106
900,74,83,552,403,108,182,251,108
901,74,84,551,402,108,181,251,108
902,74,85,550,400,108,182,250,108
903,74,93,550,397,106,183,251,106
904,74,98,557,407,110,186,250,110
905,74,99,552,401,106,185,251,106
906,74,104,553,403,110,183,250,110
907,74,106,552,403,110,182,250,110
908,74,107,551,400,106,184,251,106
909,74,109,551,401,108,182,251,108
910,74,113,550,400,106,183,251,106
911,74,114,553,400,106,186,251,106
912,74,115,550,401,108,180,251,108
913,74,117,548,397,106,181,251,106
914,74,165,552,402,108,182,251,108
915,74,166,555,405,110,184,250,110
916,74,198,554,400,106,186,251,106
917,74,199,547,398,108,177,251,108
918,74,233,553,403,108,183,251,108
919,74,234,552,399,106,185,251,106
920,74,240,551,400,108,182,251,108
921,74,241,555,405,108,186,251,108
922,74,249,557,408,110,186,250,110
923,74,251,556,408,110,185,250,110
924,74,252,547,398,108,178,251,108
925,74,254,550,400,108,181,251,108
926,74,256,548,399,108,179,251,108
927,74,261,558,401,106,190,251,106
928,74,262,554,399,106,186,251,106
929,74,263,548,399,108,179,251,108
930,74,302,550,402,110,179,250,110
931,74,306,556,399,106,188,251,106
932,74,317,549,400,108,180,251,108
933,74,325,546,397,108,177,251,108
934,74,334,554,399,106,186,251,106
935,74,335,556,407,110,185,250,110
936,74,336,556,402,106,188,251,106
937,74,337,555,405,110,185,250,110
938,74,342,550,400,108,180,251,108
939,74,345,552,404,110,181,250,110
940,74,346,559,409,110,188,250,110
941,74,351,556,407,110,185,250,110
942,74,353,551,400,108,182,251,108
943,74,354,554,402,106,187,251,106
944,74,365,553,398,106,185,251,106
945,74,380,555,408,110,185,250,110
946,74,383,554,402,108,186,250,108
947,74,404,548,398,108,179,251,108
948,74,406,548,398,108,178,251,108
949,74,411,550,397,106,183,251,106
950,74,416,553,399,106,186,251,106
951,74,419,554,403,108,186,250,108
952,74,420,555,408,110,184,250,110
953,74,421,551,399,106,183,251,106
954,74,424,558,405,108,189,250,108
955,74,425,551,404,110,181,250,110
956,74,426,554,399,106,186,251,106
957,74,428,548,400,108,180,250,108
958,74,435,551,402,108,182,251,108
959,77,81,552,401,108,184,250,108
960,77,82,548,403,110,178,250,110
961,77,83,554,408,110,183,250,110
962,77,84,547,401,108,178,251,108
963,77,85,544,396,106,178,251,106
964,77,93,550,400,108,182,250,108
965,77,98,559,405,108,190,250,108
966,77,99,548,400,106,182,251,106
967,77,104,547,396,106,181,251,106
968,77,106,548,398,106,182,251,106
969,77,107,551,404,110,181,250,110
970,77,109,549,402,108,181,251,108
971,77,113,546,400,108,178,251,108
972,77,114,547,400,108,179,251,108
973,77,115,546,400,108,177,251,108
974,77,117,541,396,108,173,251,108
975,77,165,556,403,108,187,250,108
976,77,166,549,401,108,180,251,108
977,77,198,548,401,108,179,251,108
978,77,199,546,396,106,179,251,106
979,77,233,549,402,108,180,251,108
980,77,234,548,398,106,182,251,106
981,77,240,547,399,108,179,251,108
982,77,241,557,410,110,187,250,110
983,77,249,553,400,106,186,251,106
984,77,251,548,402,108,179,251,108
985,77,252,543,396,106,177,251,106
986,77,254,552,404,108,184,250,108
987,77,256,548,399,106,182,251,106
988,77,261,554,400,106,187,251,106
989,77,262,548,402,108,179,251,108
990,77,263,546,400,108,178,251,108
991,77,302,546,400,110,175,250,110
992,77,306,554,400,106,187,251,106
993,77,317,547,398,106,181,251,106
994,77,325,545,396,106,179,251,106
995,77,334,550,398,106,183,251,106
