,A,B,gates,depth,2-gates,Gates
99,32,109,546,400,108,"Counter({'sx': 249, 'rz': 179, 'cz': 108, 'x': 6, 'measure': 4})"
100,32,113,543,398,108,"Counter({'sx': 249, 'rz': 176, 'cz': 108, 'x': 6, 'measure': 4})"
101,32,114,546,397,106,"Counter({'sx': 249, 'rz': 181, 'cz': 106, 'x': 6, 'measure': 4})"
102,32,115,545,401,110,"Counter({'sx': 248, 'rz': 175, 'cz': 110, 'x': 8, 'measure': 4})"
103,32,117,544,397,106,"Counter({'sx': 250, 'rz': 178, 'cz': 106, 'x': 6, 'measure': 4})"
104,32,165,549,397,106,"Counter({'sx': 249, 'rz': 183, 'cz': 106, 'x': 7, 'measure': 4})"
105,32,166,549,396,106,"Counter({'sx': 249, 'rz': 183, 'cz': 106, 'x': 7, 'measure': 4})"
106,32,198,549,404,110,"Counter({'sx': 248, 'rz': 179, 'cz': 110, 'x': 8, 'measure': 4})"
107,32,199,545,397,108,"Counter({'sx': 248, 'rz': 177, 'cz': 108, 'x': 8, 'measure': 4})"
108,32,233,550,405,110,"Counter({'sx': 248, 'rz': 180, 'cz': 110, 'x': 8, 'measure': 4})"
109,32,234,545,399,108,"Counter({'sx': 249, 'rz': 178, 'cz': 108, 'x': 6, 'measure': 4})"
110,32,240,546,396,106,"Counter({'sx': 249, 'rz': 181, 'cz': 106, 'x': 6, 'measure': 4})"
111,32,241,550,404,108,"Counter({'sx': 249, 'rz': 183, 'cz': 108, 'x': 6, 'measure': 4})"
112,32,249,548,403,110,"Counter({'sx': 248, 'rz': 178, 'cz': 110, 'x': 8, 'measure': 4})"
113,32,251,547,398,106,"Counter({'sx': 249, 'rz': 181, 'cz': 106, 'x': 7, 'measure': 4})"
114,32,252,542,397,108,"Counter({'sx': 248, 'rz': 175, 'cz': 108, 'x': 7, 'measure': 4})"
115,32,254,543,396,106,"Counter({'sx': 249, 'rz': 178, 'cz': 106, 'x': 6, 'measure': 4})"
116,32,256,543,395,106,"Counter({'sx': 249, 'rz': 178, 'cz': 106, 'x': 6, 'measure': 4})"
117,32,261,551,398,106,"Counter({'sx': 249, 'rz': 185, 'cz': 106, 'x': 7, 'measure': 4})"
118,32,262,549,398,106,"Counter({'sx': 249, 'rz': 183, 'cz': 106, 'x': 7, 'measure': 4})"
119,32,263,545,398,108,"Counter({'sx': 248, 'rz': 178, 'cz': 108, 'x': 7, 'measure': 4})"
120,32,302,539,394,108,"Counter({'sx': 249, 'rz': 171, 'cz': 108, 'x': 7, 'measure': 4})"
121,32,306,551,398,106,"Counter({'sx': 249, 'rz': 185, 'cz': 106, 'x': 7, 'measure': 4})"
